solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12631,Matty Hiroto Inaba,3.52,U R U R' U' R' F R2 U' R' U F' L' U L,0.89,25.3%,15,16.85,15,16.85
12629,Yiheng Wang,3.54,U' D' R2 U R' U R' U' R U' R2 U' D R' U R,1.01,28.5%,16,15.84,16,15.84
12627,Yiheng Wang,3.93,U2' R U R' U' R' F R2 U' R' U' R U R' F',0.73,18.6%,15,20.55,15,20.55
12626,Yiheng Wang,3.94,U R' U' R U D' R2 U R' U R U' R U' R2' D U,0.94,23.9%,17,18.09,17,18.09
12624,Yiheng Wang,3.78,U R U' R' U' R U R D R' U' R D' R' U2 R' U',0.81,21.4%,17,20.99,17,20.99
12620,Yiheng Wang,3.78,U R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U,1.28,33.9%,17,13.28,17,13.28
12577,Luke Garrett,3.79,,0.00,0.0%,0,n/a,0,n/a
12576,Luke Garrett,3.89,,0.97,24.9%,14,14.43,14,14.43
12575,Luke Garrett,4.26,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U2',1.13,26.5%,20,17.70,20,17.70
12568,Olaf Kuźmiński,3.87,M2' U' M2' U2' M2' U' M2' U2',0.97,25.1%,8,8.25,8,8.25
12564,Teodor Zajder,2.76,,0.00,0.0%,0,n/a,0,n/a
12563,Yiheng Wang,3.23,x R' D2 R U R' D2 R U' R x' U,0.93,28.8%,10,10.75,12,12.90
12561,Yiheng Wang,3.62,U' R U R' U R' U' R2 U' R' U R' U R U',0.75,20.7%,15,20.00,15,20.00
12560,Yiheng Wang,3.77,U2 R U R' F' R U R' U' R' F R2 U' R' U2,0.80,21.2%,15,18.75,15,18.75
12559,Yiheng Wang,3.78,U' R U R' F' R U R' U' R' R R' F R2 U' R' U2,1.11,29.4%,17,15.32,17,15.32
12558,Yiheng Wang,3.08,x R' U R' D2 R U' R' D2 R2,0.75,24.4%,9,12.00,10,13.33
12551,Yiheng Wang,3.75,,0.00,0.0%,0,n/a,0,n/a
12550,Yiheng Wang,4.20,R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U,0.83,19.8%,18,21.69,18,21.69
12549,Yiheng Wang,3.65,U2 L' U' L F L' U' L U L F' L2' U L,0.85,23.3%,14,16.47,14,16.47
12548,Ruihang Xu,3.35,U' R U R' U' R' F R2 U' R' U' R U R' F',0.95,28.4%,15,15.79,15,15.79
12547,Ruihang Xu,4.50,U F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.10,24.4%,19,17.27,19,17.27
12546,Luke Garrett,3.88,,0.00,0.0%,0,n/a,0,n/a
12545,Hansen Yu,3.61,U R' U R' U' R3 U' R' U R U R2',1.08,29.9%,12,11.11,12,11.11
12544,Dylan Miller,3.62,,0.15,4.1%,1,6.67,1,6.67
12543,Ruihang Xu,5.10,U U' F' U' F R2 u R' U R U' R u' R2',1.33,26.1%,14,10.53,14,10.53
12542,Ruihang Xu,4.48,U' R U R' U' R' F R2 U' R' U' R U R' F',1.35,30.1%,15,11.11,15,11.11
12541,Ruihang Xu,4.75,U2' R2' U R U R' U' R3 U' R' U R',1.28,26.9%,12,9.38,12,9.38
