solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS,Solver_count,U,U2,L,L2,F,F2,R,R2,B,B2,D,D2,simul,ghost_move
12539,Ruihang Xu,4.12,R U R' U R' U' R2 U' R' U R' U R,-1.459017482300033,19.9%,13,15.85,13,15.85,42,6,0,0,0,0,0,6,1,0,0,0,0,0,2
12537,Luke Garrett,3.66,U x R2' D2 R U R' D2 R U' R,-0.938571330158679,28.1%,10,9.71,11,10.68,62,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12534,Luke Garrett,4.23,x R2' D2 R U R' D2 R U' R x' U',-0.938571330158679,24.3%,10,9.71,12,11.65,62,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12533,Luke Garrett,4.31,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U',-0.5668491192595974,26.5%,17,14.91,17,14.91,62,8,0,0,0,0,0,5,2,0,0,2,0,2,1
12531,Luke Garrett,6.15,U' R U' R' U' R U R D R' U' R D' R' U2 R' U',-0.938571330158679,16.7%,17,16.5,17,16.5,62,6,1,0,0,0,0,8,0,0,0,2,0,0,0
12486,Luke Garrett,4.58,U2 R U R' U' R' F R2 U' R' U F' L' U L,0.3455599438563316,30.8%,15,10.64,15,10.64,62,5,1,2,0,2,0,4,1,0,0,0,0,0,0
12485,Luke Garrett,4.4,R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',-0.5330561909960444,26.1%,19,16.52,19,16.52,62,8,0,0,0,2,0,8,1,0,0,0,0,0,0
12479,Matty Hiroto Inaba,3.35,U' R U R' U R' U' R2 U' R' U R' U R U2',-0.995383730886803,26.3%,15,17.05,15,17.05,72,7,1,0,0,0,0,6,1,0,0,0,0,0,2
12478,Matty Hiroto Inaba,4.16,R' U2' R U2' R' F R U R' U' R' F' R2 U,0.3702794491865578,32.2%,14,10.45,14,10.45,72,3,2,0,0,2,0,6,1,0,0,0,0,0,0
12477,Matty Hiroto Inaba,4.11,U' R U R' U R' U' R2 U' R' U R' U R,-1.440708680910725,17.8%,14,19.18,14,19.18,72,7,0,0,0,0,0,6,1,0,0,0,0,0,2
12475,Matty Hiroto Inaba,4.32,U L' U' L F L' U' L U L F' L2' U L,-0.7281887608724499,22.5%,14,14.43,14,14.43,72,5,0,6,1,2,0,0,0,0,0,0,0,0,0
12464,Yiheng Wang,4.05,U D' R2 U R' U R' U' R U' R2 U' D R' U R,-0.5782891943396066,22.7%,16,17.39,16,17.39,202,7,0,0,0,0,0,5,2,0,0,2,0,2,1
12434,Luke Garrett,5.06,U x R' U R' D2 R U' R' D2 y F2 R2,1.4269336482900252,34.2%,11,6.36,13,7.51,62,3,0,0,0,0,1,4,1,0,0,0,2,0,1
12432,Luke Garrett,5.47,U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,0.8862467960731788,28.7%,19,12.1,19,12.1,62,8,0,0,0,2,0,8,1,0,0,0,0,0,0
12431,Luke Garrett,5.06,R' U R' U' R3 U' R' U R U R2',-1.9185662498017138,14.6%,11,14.86,11,14.86,62,5,0,0,0,0,0,5,1,0,0,0,0,0,1
12430,Luke Garrett,4.83,U2 y x R' U R' D2 R U' R' D2 R2,1.1565902221816016,34.2%,10,6.06,12,7.27,62,2,1,0,0,0,0,4,1,0,0,0,2,0,1
12429,Luke Garrett,5.12,U' U' D' R U R' U' D R2 U' R U' R' U R' U R2 U,0.7848680112825199,30.1%,18,11.69,18,11.69,62,9,0,0,0,0,0,5,2,0,0,2,0,2,1
12428,Luke Garrett,6.55,M2' U M2' U2 M2' U M2',-0.6006420475231502,17.3%,7,6.19,7,6.19,62,2,1,0,0,0,0,0,0,0,0,0,0,0,0
12427,Luke Garrett,5.09,U' F R U' R' U' R U R' F' R U R' U' R' F R F' U2',0.04142358948435578,25.9%,19,14.39,19,14.39,62,6,1,0,0,4,0,8,0,0,0,0,0,0,0
12426,Luke Garrett,5.05,U M2' U' M U2 M' U' M2' U2,-1.3778793975848669,17.8%,9,10.0,9,10.0,62,3,2,0,0,0,0,0,0,0,0,0,0,0,0
12425,Luke Garrett,4.14,M2' U' M U2 M' U' M2' U2,1.0552114373909436,39.1%,8,4.94,8,4.94,62,2,2,0,0,0,0,0,0,0,0,0,0,0,0
12424,Luke Garrett,5.54,M2' U M2' U M' U2 M2' U2 M' U',-0.05995519530630306,23.3%,10,7.75,10,7.75,62,3,2,0,0,0,0,0,0,0,0,0,0,0,0
